tracking_id,class,source,first_seen,last_seen,time,status
35686,person,Screen Recording 2026-01-15 205225.mp4,77,77,2026-04-06 01:47:15,active
41281,person,Screen Recording 2026-01-15 205225.mp4,112,112,2026-04-06 01:47:21,active
60085,person,Screen Recording 2026-01-15 205225.mp4,231,231,2026-04-06 01:47:40,active
65799,person,Screen Recording 2026-01-15 205225.mp4,266,266,2026-04-06 01:47:45,active
58789,person,WIN_20260210_12_59_08_Pro.jpg,0,0,2026-04-06 01:52:38,active
58807,chair,WIN_20260210_12_59_08_Pro.jpg,0,0,2026-04-06 01:52:38,active
58820,person,WIN_20260210_12_59_08_Pro.jpg,0,0,2026-04-06 01:52:38,active
58834,chair,WIN_20260210_12_59_08_Pro.jpg,0,0,2026-04-06 01:52:38,active
58851,chair,WIN_20260210_12_59_08_Pro.jpg,0,0,2026-04-06 01:52:38,active
3571,car,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,14,14,2026-04-06 01:53:23,active
12551,car,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,63,63,2026-04-06 01:53:32,active
23458,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,126,126,2026-04-06 01:53:43,active
27068,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,147,147,2026-04-06 01:53:47,active
41378,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,224,224,2026-04-06 01:54:01,active
45148,car,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,245,245,2026-04-06 01:54:05,active
55375,car,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,301,301,2026-04-06 01:54:15,active
63424,truck,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,343,343,2026-04-06 01:54:23,active
78153,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,427,427,2026-04-06 01:54:38,active
80986,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,441,441,2026-04-06 01:54:40,active
81013,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,441,441,2026-04-06 01:54:41,active
81033,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,441,441,2026-04-06 01:54:41,active
83685,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,455,455,2026-04-06 01:54:43,active
90008,person,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,490,490,2026-04-06 01:54:50,active
5866,train,FAAC_Boom_Barrier_with_ANPR_Smart_Automatic_License_Plate_Recognition_1080P.mp4,574,574,2026-04-06 01:55:05,active
